title,domestic_box_office,opening_box_office,release_date,franchise
Black Panther: Wakanda Forever,453829060,181339761,2022-11-11,Marvel
Puss in Boots: The Last Wish,186090535,12429515,2022-12-21,Disney
Black Adam,168152111,67004323,2022-10-21,DC
Strange World,37968963,12151384,2022-11-23,Disney
Spider-Man: Across the Spider-Verse,381311319,120663589,2023-06-02,Marvel
Guardians of the Galaxy Vol. 3,358995815,118414021,2023-05-05,Marvel
Ant-Man and the Wasp: Quantumania,214504909,106109650,2023-02-17,Marvel
Indiana Jones and the Dial of Destiny,174480468,60368101,2023-06-30,Disney
The Flash,108133313,55043679,2023-06-16,DC
Blue Beetle,72488072,25030225,2023-08-18,DC
Haunted Mansion,67653287,24082475,2023-07-28,Disney
Shazam! Fury of the Gods,57638006,30111158,2023-03-17,DC
